Dataset,Series ID,Partition,Time,Value
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2013-05-01,25.795
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2013-06-01,25.71
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2013-07-01,25.95
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2013-08-01,25.86
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2013-09-01,25.735
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2013-10-01,25.735
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2013-11-01,25.72
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2013-12-01,27.39
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2014-01-01,27.425
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2014-02-01,27.5
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2014-03-01,27.34
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2014-04-01,27.44
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2014-05-01,27.455
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2014-06-01,27.47
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2014-07-01,27.45
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2014-08-01,27.57
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2014-09-01,27.725
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2014-10-01,27.5
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2014-11-01,27.77
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2014-12-01,27.655
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2015-01-01,27.725
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2015-02-01,27.795
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2015-03-01,27.43
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2015-04-01,27.53
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2015-05-01,27.43
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2015-06-01,27.41
