Dataset,Series ID,Partition,Time,Value
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 00:00:00,6867.82
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 01:00:00,6860.52
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 02:00:00,6887.46
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 03:00:00,6841.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 04:00:00,6885.17
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 05:00:00,6884.08
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 06:00:00,6855.03
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 07:00:00,6867.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 08:00:00,6863.76
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 09:00:00,6892.99
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 10:00:00,6888.39
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 11:00:00,6896.35
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 12:00:00,6876.89
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 13:00:00,6847.99
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 14:00:00,6817.83
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 15:00:00,6802.25
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 16:00:00,6820.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 17:00:00,6852.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 18:00:00,6823.4
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 19:00:00,6840.2
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 20:00:00,6860.22
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 21:00:00,6897.32
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 22:00:00,6885.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-21 23:00:00,6878.47
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 00:00:00,6893.32
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 01:00:00,6905.16
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 02:00:00,6906.41
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 03:00:00,6854.98
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 04:00:00,6849.77
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 05:00:00,6857.69
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 06:00:00,6880.08
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 07:00:00,6873.02
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 08:00:00,6860.08
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 09:00:00,6916.08
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 10:00:00,6951.99
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 11:00:00,6949.63
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 12:00:00,6958.84
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 13:00:00,6960.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 14:00:00,6951.52
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 15:00:00,6965.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 16:00:00,6968.45
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 17:00:00,7075.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 18:00:00,7107.8
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 19:00:00,7125.68
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 20:00:00,7130.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-22 21:00:00,7091.29
